ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
9927975,4101,0,None,10,2,Human,9.7,pEC50,=,9.7,Functional,EffectiveconcentrationrequiredforstimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorEffectiveconcentrationrequiredforstimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,341,3,0,5,3.5,C(#Cc1ccccc1)CSc1nsnc1[C@H]1CN2CCC[C@H]1C2,10.1016/s0960-894x(98)00509-5
CHEMBL100147,4101,0,None,10,2,Human,9.7,pEC50,=,9.7,Functional,EffectiveconcentrationrequiredforstimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorEffectiveconcentrationrequiredforstimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,341,3,0,5,3.5,C(#Cc1ccccc1)CSc1nsnc1[C@H]1CN2CCC[C@H]1C2,10.1016/s0960-894x(98)00509-5
CHEMBL1223754,15848,0,None,31,5,Human,9.4,pEC50,=,9.4,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassay,ChEMBL,403,5,1,4,4.5,CCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)[nH]c4cc(F)c(C)cc43)CC2)CC1,10.1016/j.bmcl.2010.07.097
CHEMBL1223804,15871,0,None,50,5,Human,9.4,pEC50,=,9.4,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassay,ChEMBL,370,4,0,3,4.1,CCO[C@H]1CC[C@](C)(N2CCC(N3C(=O)Cc4ccc(C)cc43)CC2)CC1,10.1016/j.bmcl.2010.07.097
44330081,203773,0,None,17,2,Human,9.3,pEC50,=,9.3,Functional,StimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorStimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,325,3,0,5,2.8,C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC[C@H]1C2,10.1016/s0960-894x(98)00509-5
CHEMBL98255,203773,0,None,17,2,Human,9.3,pEC50,=,9.3,Functional,StimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorStimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,325,3,0,5,2.8,C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC[C@H]1C2,10.1016/s0960-894x(98)00509-5
CHEMBL1223803,15870,0,None,39,5,Human,9.3,pEC50,=,9.3,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassay,ChEMBL,384,5,0,3,4.5,CCCO[C@H]1CC[C@](C)(N2CCC(N3C(=O)Cc4ccc(C)cc43)CC2)CC1,10.1016/j.bmcl.2010.07.097
118724611,115859,0,None,-,1,Human,9.2,pEC50,=,9.2,Functional,Positiveallostericmodulatoractivityathumanmuscarinicreceptorsubtype1expressedinCHO-K1cellsbycalciummobilizationassayPositiveallostericmodulatoractivityathumanmuscarinicreceptorsubtype1expressedinCHO-K1cellsbycalciummobilizationassay,ChEMBL,373,3,1,5,3.4,Cn1cc(-c2ccc(Cn3cc4c(=O)[nH]nc-4c4ccccc43)c(F)c2)cn1,10.1016/j.bmcl.2014.11.011
CHEMBL3360954,115859,0,None,-,1,Human,9.2,pEC50,=,9.2,Functional,Positiveallostericmodulatoractivityathumanmuscarinicreceptorsubtype1expressedinCHO-K1cellsbycalciummobilizationassayPositiveallostericmodulatoractivityathumanmuscarinicreceptorsubtype1expressedinCHO-K1cellsbycalciummobilizationassay,ChEMBL,373,3,1,5,3.4,Cn1cc(-c2ccc(Cn3cc4c(=O)[nH]nc-4c4ccccc43)c(F)c2)cn1,10.1016/j.bmcl.2014.11.011
25110765,186274,0,None,-,1,Human,9.1,pEC50,=,9.1,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,422,4,1,4,4.1,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4ccc(F)cc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
CHEMBL490797,186274,0,None,-,1,Human,9.1,pEC50,=,9.1,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,422,4,1,4,4.1,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4ccc(F)cc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
46871844,6707,0,None,50,5,Human,9.1,pEC50,=,9.1,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassay,ChEMBL,360,4,2,2,4.1,C[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,10.1016/j.bmcl.2010.04.127
CHEMBL1083925,6707,0,None,50,5,Human,9.1,pEC50,=,9.1,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassay,ChEMBL,360,4,2,2,4.1,C[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,10.1016/j.bmcl.2010.04.127
25110764,189824,0,None,-,1,Human,9.1,pEC50,=,9.1,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,422,4,1,4,4.1,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4cc(F)ccc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
CHEMBL522451,189824,0,None,-,1,Human,9.1,pEC50,=,9.1,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,422,4,1,4,4.1,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4cc(F)ccc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
44329977,110827,0,None,10,2,Human,9.0,pEC50,=,9,Functional,StimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorStimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,311,3,0,5,2.4,C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC1C2,10.1016/s0960-894x(98)00509-5
CHEMBL327269,110827,0,None,10,2,Human,9.0,pEC50,=,9,Functional,StimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorStimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,311,3,0,5,2.4,C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC1C2,10.1016/s0960-894x(98)00509-5
46890906,6937,0,None,1,2,Human,9.0,pEC50,=,9,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassay,ChEMBL,329,5,2,2,4.8,OC(CCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,10.1016/j.bmcl.2010.04.127
CHEMBL1084850,6937,0,None,1,2,Human,9.0,pEC50,=,9,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectonacetylcholine-inducedintracellularcalciumlevelbyFLIPRassay,ChEMBL,329,5,2,2,4.8,OC(CCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,10.1016/j.bmcl.2010.04.127
CHEMBL1223860,15895,0,None,50,5,Human,9.0,pEC50,=,9,Functional,AgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassayAgonistactivityathumanmuscarinicM1receptorexpressedinCHOcellsassessedaseffectoncalciummobilizationbyFLIPRassay,ChEMBL,390,4,0,5,4.4,CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4cc(F)c(C)cc43)CC2)CC1,10.1016/j.bmcl.2010.07.097
44351242,117453,0,None,5,2,Human,9.0,pEC50,=,9,Functional,Effectiveconcentrationrequiredforstimulationofphosphoinositol(PI)hydrolysisintheA9LcelllinetransfectedwiththeMuscarinicacetylcholinereceptorM1.Effectiveconcentrationrequiredforstimulationofphosphoinositol(PI)hydrolysisintheA9LcelllinetransfectedwiththeMuscarinicacetylcholinereceptorM1.,ChEMBL,285,5,0,6,2.5,CCCSc1nsnc1OC1CN2CCCC1C2,10.1021/jm970125n
CHEMBL340435,117453,0,None,5,2,Human,9.0,pEC50,=,9,Functional,Effectiveconcentrationrequiredforstimulationofphosphoinositol(PI)hydrolysisintheA9LcelllinetransfectedwiththeMuscarinicacetylcholinereceptorM1.Effectiveconcentrationrequiredforstimulationofphosphoinositol(PI)hydrolysisintheA9LcelllinetransfectedwiththeMuscarinicacetylcholinereceptorM1.,ChEMBL,285,5,0,6,2.5,CCCSc1nsnc1OC1CN2CCCC1C2,10.1021/jm970125n
44330074,106629,0,None,-,1,Human,9.0,pEC50,=,9,Functional,StimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorStimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,341,3,0,5,3.5,C(#Cc1ccccc1)CSc1nsnc1[C@@H]1CN2CCC[C@H]1C2,10.1016/s0960-894x(98)00509-5
CHEMBL316625,106629,0,None,-,1,Human,9.0,pEC50,=,9,Functional,StimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptorStimulationofphosphoinositidehydrolysisinA9Lcellsexpressinghumanm1receptor,ChEMBL,341,3,0,5,3.5,C(#Cc1ccccc1)CSc1nsnc1[C@@H]1CN2CCC[C@H]1C2,10.1016/s0960-894x(98)00509-5
44579457,186118,0,None,2570,2,Human,9.0,pEC50,=,9.0,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,476,4,1,4,4.8,O=c1[nH]c2cc(F)ccc2n1C1CCN(C2CCN(Cc3ccccc3C(F)(F)F)CC2)CC1,10.1016/j.bmcl.2008.09.023
CHEMBL489576,186118,0,None,2570,2,Human,9.0,pEC50,=,9.0,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,476,4,1,4,4.8,O=c1[nH]c2cc(F)ccc2n1C1CCN(C2CCN(Cc3ccccc3C(F)(F)F)CC2)CC1,10.1016/j.bmcl.2008.09.023
44579418,186238,0,None,-,1,Human,9.0,pEC50,=,9.0,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,422,4,1,4,4.1,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4c(F)cccc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
CHEMBL490598,186238,0,None,-,1,Human,9.0,pEC50,=,9.0,Functional,AgonistactivityatmuscarinicM1receptorAgonistactivityatmuscarinicM1receptor,ChEMBL,422,4,1,4,4.1,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4c(F)cccc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
