ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
DB12675,2987,25,None,1,2,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4BreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4BreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
11166796,82180,0,None,1,2,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4AreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4AreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,448,5,2,7,2.3,CC(C)n1c(=O)n(C(=O)NCC2CCN(CC3(O)CCOCC3)CC2)c2cc(F)ccc21,10.1021/jm300953p
CHEMBL2179583,82180,0,None,1,2,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4AreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4AreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,448,5,2,7,2.3,CC(C)n1c(=O)n(C(=O)NCC2CCN(CC3(O)CCOCC3)CC2)c2cc(F)ccc21,10.1021/jm300953p
CHEMBL2059588,75988,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4Creceptorexpressedat100foldphysiological-levelinHEK293cellsassessedascAMPaccumulationAgonistactivityathuman5HT4Creceptorexpressedat100foldphysiological-levelinHEK293cellsassessedascAMPaccumulation,ChEMBL,532,8,2,8,1.3,CC(C)n1nc(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C[C@@H](O)CN2CCN(S(C)(=O)=O)CC2)c2ccccc21,10.1016/j.bmcl.2012.05.034
CHEMBL538635,190476,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4Creceptorexpressedat100foldphysiological-levelinHEK293cellsassessedascAMPaccumulationAgonistactivityathuman5HT4Creceptorexpressedat100foldphysiological-levelinHEK293cellsassessedascAMPaccumulation,ChEMBL,559,8,2,8,1.2,CC(C)n1c(=O)c(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C[C@@H](O)CN2CCN(S(C)(=O)=O)CC2)cc2ccccc21,10.1016/j.bmcl.2012.05.034
CHEMBL538635,190476,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4CreceptorexpressedinHEK293cellsassessedasaccumulationofcAMPbyflashplateadenylylcyclaseactivationassayAgonistactivityathuman5HT4CreceptorexpressedinHEK293cellsassessedasaccumulationofcAMPbyflashplateadenylylcyclaseactivationassay,ChEMBL,559,8,2,8,1.2,CC(C)n1c(=O)c(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C[C@@H](O)CN2CCN(S(C)(=O)=O)CC2)cc2ccccc21,10.1021/jm900881j
CHEMBL539713,190531,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4CreceptorexpressedinHEK293cellsassessedasaccumulationofcAMPbyflashplateadenylylcyclaseactivationassayAgonistactivityathuman5HT4CreceptorexpressedinHEK293cellsassessedasaccumulationofcAMPbyflashplateadenylylcyclaseactivationassay,ChEMBL,549,12,2,6,4.2,CC(C)n1c(=O)c(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3CCCCCCCN2CCC[C@@H]2C(N)=O)cc2ccccc21,10.1021/jm900881j
71712463,90872,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathumanrecombinant5HT4receptorassessedascAMPaccumulationAgonistactivityathumanrecombinant5HT4receptorassessedascAMPaccumulation,ChEMBL,465,9,3,6,1.4,CC(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN(C)S(C)(=O)=O)CC3)cccc2[nH]1,10.1016/j.bmcl.2013.05.018
CHEMBL2402900,90872,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathumanrecombinant5HT4receptorassessedascAMPaccumulationAgonistactivityathumanrecombinant5HT4receptorassessedascAMPaccumulation,ChEMBL,465,9,3,6,1.4,CC(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN(C)S(C)(=O)=O)CC3)cccc2[nH]1,10.1016/j.bmcl.2013.05.018
53357011,82177,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Agonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassay,ChEMBL,446,7,2,8,2.8,O[C@@H]1CC[C@@H](Oc2cccc3onc(OCC4CCN(CC5(O)CCOCC5)CC4)c23)C1,10.1021/jm300953p
