ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
1218,3529,21,None,177,4,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,289,1,3,3,3.0,Oc1c(O)cc2c(c1Cl)CCNCC2c1ccccc1,10.1021/acsmedchemlett.9b00050
938,3529,21,None,177,4,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,289,1,3,3,3.0,Oc1c(O)cc2c(c1Cl)CCNCC2c1ccccc1,10.1021/acsmedchemlett.9b00050
CHEMBL353335,3529,21,None,177,4,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,289,1,3,3,3.0,Oc1c(O)cc2c(c1Cl)CCNCC2c1ccccc1,10.1021/acsmedchemlett.9b00050
86764103,131791,4,None,-2,2,Human,7.9,pEC50,=,7.9,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,389,5,1,6,3.1,Cc1cc(Oc2ncccc2OC(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,10.1021/acsmedchemlett.9b00050
CHEMBL3697578,131791,4,None,-2,2,Human,7.9,pEC50,=,7.9,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,389,5,1,6,3.1,Cc1cc(Oc2ncccc2OC(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,10.1021/acsmedchemlett.9b00050
681,1424,59,None,1,11,Human,8.7,pEC50,=,8.7,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,153,2,3,3,0.6,NCCc1ccc(c(c1)O)O,10.1021/acsmedchemlett.9b00050
940,1424,59,None,1,11,Human,8.7,pEC50,=,8.7,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,153,2,3,3,0.6,NCCc1ccc(c(c1)O)O,10.1021/acsmedchemlett.9b00050
947,1424,59,None,1,11,Human,8.7,pEC50,=,8.7,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,153,2,3,3,0.6,NCCc1ccc(c(c1)O)O,10.1021/acsmedchemlett.9b00050
CHEMBL59,1424,59,None,1,11,Human,8.7,pEC50,=,8.7,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,153,2,3,3,0.6,NCCc1ccc(c(c1)O)O,10.1021/acsmedchemlett.9b00050
DB00988,1424,59,None,1,11,Human,8.7,pEC50,=,8.7,Functional,AgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassayAgonistactivityatD5R(unknownorigin)expressedinHEK293cellsassessedaseffectoncAMPaccumulationincubatedfor10minsbyGs-cAMPGlosensorassay,ChEMBL,153,2,3,3,0.6,NCCc1ccc(c(c1)O)O,10.1021/acsmedchemlett.9b00050
