ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
135367816,164137,0,None,-,1,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,248,1,1,3,2.7,Clc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
CHEMBL4218801,164137,0,None,-,1,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,248,1,1,3,2.7,Clc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
135367816,164137,0,None,-,1,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,248,1,1,3,2.7,Clc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
CHEMBL4218801,164137,0,None,-,1,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,248,1,1,3,2.7,Clc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
135367820,164123,0,None,-,1,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,232,1,1,3,2.2,Fc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
CHEMBL4218672,164123,0,None,-,1,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,232,1,1,3,2.2,Fc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
135367820,164123,0,None,-,1,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,232,1,1,3,2.2,Fc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
CHEMBL4218672,164123,0,None,-,1,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassayAgonistactivityattTAcontainingTCScleavagesite-fused5-HT7receptor(unknownorigin)expressedintTA-dependentluciferasereporter/TEV-fusedbeta-arrestin2expressingHTLAcellsassessedasinductionofbeta-arrestin2recruitmentafter22hrsbyTangoassay,ChEMBL,232,1,1,3,2.2,Fc1ccc(-c2noc3c2CCNCC3)cc1,10.1021/acs.jmedchem.8b00642
5,139,62,None,-6,27,Human,7.8,pEC50,=,7.8,Functional,Agonistactivityathumanrecombinant5HT7receptorexpressedinCHOK1cellsassessedasincreaseincAMPlevelsbyHTRFassayAgonistactivityathumanrecombinant5HT7receptorexpressedinCHOK1cellsassessedasincreaseincAMPlevelsbyHTRFassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm8014553
5202,139,62,None,-6,27,Human,7.8,pEC50,=,7.8,Functional,Agonistactivityathumanrecombinant5HT7receptorexpressedinCHOK1cellsassessedasincreaseincAMPlevelsbyHTRFassayAgonistactivityathumanrecombinant5HT7receptorexpressedinCHOK1cellsassessedasincreaseincAMPlevelsbyHTRFassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm8014553
