ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
2551,776,22,None,-9,12,Human,5.0,pEC50,=,5.0,Functional,EffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptorEffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptor,ChEMBL,147,3,1,2,-0.2,NC(=O)OCC[N+](C)(C)C,10.1016/S0960-894X(00)80538-7
298,776,22,None,-9,12,Human,5.0,pEC50,=,5.0,Functional,EffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptorEffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptor,ChEMBL,147,3,1,2,-0.2,NC(=O)OCC[N+](C)(C)C,10.1016/S0960-894X(00)80538-7
488,776,22,None,-9,12,Human,5.0,pEC50,=,5.0,Functional,EffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptorEffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptor,ChEMBL,147,3,1,2,-0.2,NC(=O)OCC[N+](C)(C)C,10.1016/S0960-894X(00)80538-7
CHEMBL965,776,22,None,-9,12,Human,5.0,pEC50,=,5.0,Functional,EffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptorEffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptor,ChEMBL,147,3,1,2,-0.2,NC(=O)OCC[N+](C)(C)C,10.1016/S0960-894X(00)80538-7
DB00411,776,22,None,-9,12,Human,5.0,pEC50,=,5.0,Functional,EffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptorEffectiveconcentrationforMIPA(muscarinic-stimulatedinositolphosphateaccumulation)activityinSK-N-SHneuroblastomacellsexpressinghumanmuscarinicM3receptor,ChEMBL,147,3,1,2,-0.2,NC(=O)OCC[N+](C)(C)C,10.1016/S0960-894X(00)80538-7
44589681,184545,0,None,-12,5,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityatmuscarinicM3receptorAgonistactivityatmuscarinicM3receptor,ChEMBL,387,5,2,6,1.5,NC(=O)OCCN1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,10.1016/j.bmcl.2008.09.032
CHEMBL485913,184545,0,None,-12,5,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityatmuscarinicM3receptorAgonistactivityatmuscarinicM3receptor,ChEMBL,387,5,2,6,1.5,NC(=O)OCCN1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,10.1016/j.bmcl.2008.09.032
22745278,186319,1,None,-53,5,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityatmuscarinicM3receptorAgonistactivityatmuscarinicM3receptor,ChEMBL,372,3,1,5,2.6,CCOC(=O)N1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
CHEMBL491209,186319,1,None,-53,5,Human,7.0,pEC50,=,7.0,Functional,AgonistactivityatmuscarinicM3receptorAgonistactivityatmuscarinicM3receptor,ChEMBL,372,3,1,5,2.6,CCOC(=O)N1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,10.1016/j.bmcl.2008.09.023
306,3370,15,None,-1,5,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35SbindingassayAgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35Sbindingassay,ChEMBL,193,2,0,4,0.9,CO/N=C(/[C@H]1CN2CCC1CC2)\C#N,10.1016/j.bmcl.2015.08.011
3536,3370,15,None,-1,5,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35SbindingassayAgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35Sbindingassay,ChEMBL,193,2,0,4,0.9,CO/N=C(/[C@H]1CN2CCC1CC2)\C#N,10.1016/j.bmcl.2015.08.011
53930639,3370,15,None,-1,5,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35SbindingassayAgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35Sbindingassay,ChEMBL,193,2,0,4,0.9,CO/N=C(/[C@H]1CN2CCC1CC2)\C#N,10.1016/j.bmcl.2015.08.011
9577995,3370,15,None,-1,5,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35SbindingassayAgonistactivityathumanmuscarinicM3receptorexpressedinCHOcellsafter30minsbyGTPgamma35Sbindingassay,ChEMBL,193,2,0,4,0.9,CO/N=C(/[C@H]1CN2CCC1CC2)\C#N,10.1016/j.bmcl.2015.08.011
