ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
439280,119400,100,None,-3,7,Human,9.0,pEC50,=,9,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
6971044,119400,100,None,-3,7,Human,9.0,pEC50,=,9,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
CHEMBL350221,119400,100,None,-3,7,Human,9.0,pEC50,=,9,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
5,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
5202,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
CHEMBL39,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
DB08839,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
5,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
5202,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
CHEMBL39,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
DB08839,139,62,None,-3,27,Human,9.0,pEC50,=,9.0,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinHEK293cellsassessedasincreaseincalciummobilizationbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2013.03.066
439280,119400,100,None,-3,7,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
6971044,119400,100,None,-3,7,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
CHEMBL350221,119400,100,None,-3,7,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
5,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2BreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
