ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
187,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
294,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
65,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
8593,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
CHEMBL667,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
DB03128,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
187,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
294,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
65,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
8593,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
CHEMBL667,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
DB03128,253,29,None,-1,6,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM5receptorexpressedinBHK-21cellsassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
2551,776,22,None,-31,12,Human,6.0,pEC50,=,6,Functional,AgonistactivityathumanM5receptorexpressedinA9LcellsassessedasstimulationofphosphoinositidehydrolysisAgonistactivityathumanM5receptorexpressedinA9Lcellsassessedasstimulationofphosphoinositidehydrolysis,ChEMBL,147,3,1,2,-0.2,NC(=O)OCC[N+](C)(C)C,10.1021/jm0606995
