ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
CHEMBL4213447,163713,0,None,1548,2,Human,10.0,pEC50,=,10,Functional,Agonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassayAgonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassay,ChEMBL,257,2,1,3,2.1,c1cc(CC2CCC2)c2c(n1)N1CCNC[C@H]1CC2,10.1016/j.bmcl.2021.127872
134265616,163713,0,None,1548,2,Human,10.0,pEC50,=,10.0,Functional,Agonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethodAgonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethod,ChEMBL,257,2,1,3,2.1,c1cc(CC2CCC2)c2c(n1)N1CCNC[C@H]1CC2,10.1021/acsmedchemlett.8b00328
CHEMBL4213447,163713,0,None,1548,2,Human,10.0,pEC50,=,10.0,Functional,Agonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethodAgonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethod,ChEMBL,257,2,1,3,2.1,c1cc(CC2CCC2)c2c(n1)N1CCNC[C@H]1CC2,10.1021/acsmedchemlett.8b00328
134265620,163708,0,None,426,3,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethodAgonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethod,ChEMBL,279,2,1,3,2.4,c1ccc(Cc2ccnc3c2CC[C@@H]2CNCCN32)cc1,10.1021/acsmedchemlett.8b00328
CHEMBL4213379,163708,0,None,426,3,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethodAgonistactivityatrecombinant5-HT2Creceptor(unknownorigin)expressedinHEK293cellsassessedasincreasein[3H]-inositolphosphateaccumulationbyscintillationcountingmethod,ChEMBL,279,2,1,3,2.4,c1ccc(Cc2ccnc3c2CC[C@@H]2CNCCN32)cc1,10.1021/acsmedchemlett.8b00328
134265620,163708,0,None,426,3,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassayAgonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassay,ChEMBL,279,2,1,3,2.4,c1ccc(Cc2ccnc3c2CC[C@@H]2CNCCN32)cc1,10.1016/j.bmcl.2021.127872
CHEMBL4213379,163708,0,None,426,3,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassayAgonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassay,ChEMBL,279,2,1,3,2.4,c1ccc(Cc2ccnc3c2CC[C@@H]2CNCCN32)cc1,10.1016/j.bmcl.2021.127872
5,139,62,None,-3,27,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityathuman5-HT2CINIreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2CINIreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
5202,139,62,None,-3,27,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityathuman5-HT2CINIreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2CINIreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
CHEMBL39,139,62,None,-3,27,Human,9.9,pEC50,=,9.9,Functional,Agonistactivityathuman5-HT2CINIreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2CINIreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
